FIRMDUM1,FIRMDUM2,FIRMDUM3,FIRMDUM4,FIRMDUM5,FIRMDUM6,FIRMDUM7,InFreqGT1Deg,InCloseGT1Deg,RCP1,RCP2,RCP3,RWD1,RWD2,RWD3,RWD4,KTF1,KTF2,KTF3,KTF4,KTF5,KTF6,TNR,CMPTNR,JOBTNR,SEX,AGE,RCP,RWD,KTF,OutGT1OutExpAvg,Centrality
0,0,0,0,0,0,0,40,92.5,7,7,7,2,5,7,5,2,6,6,6,7,7,108,34,9,1,37,7,4.75,5.666666666666667,1.575,66.25
1,0,0,0,0,0,0,100,100,6,6,7,6,6,7,6,7,6,6,6,6,7,120,120,120,1,39,6.333333333333333,6.25,6.333333333333333,3.96,100
1,0,0,0,0,0,0,80,100,7,7,7,7,7,7,7,4,5,6,7,7,7,50,50,50,1,31,7,7,6,3.76,90
1,0,0,0,0,0,0,92,96,7,7,7,1,1,1,7,6,1,7,7,7,6,86,14,86,1,35,7,2.5,5.666666666666667,4.04,94
1,0,0,0,0,0,0,100,100,7,7,6,7,7,7,7,7,7,7,7,7,7,55,55,12,1,29,6.666666666666667,7,7,4.92,100
1,0,0,0,0,0,0,84,100,5,6,6,4,4,5,3,4,5,6,6,6,6,122,31,122,1,36,5.666666666666667,4,5.5,3.76,92
1,0,0,0,0,0,0,100,100,7,4,6,2,3,4,4,2,3,5,5,7,7,159,123,123,1,40,5.666666666666667,3.25,4.833333333333333,3.28,100
1,0,0,0,0,0,0,100,100,7,7,7,6,3,5,4,5,6,6,6,6,6,159,123,123,1,38,7,4.5,5.833333333333333,3.8,100
1,0,0,0,0,0,0,92,92,6,6,6,3,3,4,4,4,4,5,4,5,4,26,26,26,1,28,6,3.5,4.333333333333333,2.16,92
1,0,0,0,0,0,0,88,100,7,7,7,1,1,1,1,7,4,7,7,7,7,128,68,60,1,37,7,1,6.5,4.166666667,94
1,0,0,0,0,0,0,84,92,7,7,7,7,7,7,7,7,7,7,7,7,7,120,120,120,1,37,7,7,7,5,88
1,0,0,0,0,0,0,84,100,3,4,4,2,1,2,2,4,5,5,5,6,5,120,18,18,1,38,3.6666666666666665,1.75,5,3,92
1,0,0,0,0,0,0,76,96,7,7,7,6,7,6,7,7,7,7,6,7,7,156,12,156,1,43,7,6.5,6.833333333333333,3.52,86
1,0,0,0,0,0,0,96,100,7,7,7,5,4,6,5,5,6,7,6,7,6,61,61,61,1,33,7,5,6.166666666666667,3.64,98
1,0,0,0,0,0,0,96,100,7,7,7,1,2,6,7,7,7,7,7,7,7,132,132,132,1,36,7,4,7,5,98
1,0,0,0,0,0,0,84,100,7,7,7,5,5,5,4,2,3,6,6,6,4,133,13,13,1,36,7,4.75,4.5,3.166666667,92
1,0,0,0,0,0,0,96,96,7,7,7,6,7,7,6,6,7,7,7,7,7,139,39,139,1,39,7,6.5,6.833333333333333,4.28,96
1,0,0,0,0,0,0,100,100,7,7,7,4,4,4,4,2,2,7,7,7,7,120,120,120,1,36,7,4,5.333333333333333,4.16,100
1,0,0,0,0,0,0,96,100,5,3,6,1,2,2,2,3,3,6,6,6,4,26,26,16,2,24,4.666666666666667,1.75,4.666666666666667,3.181818182,98
1,0,0,0,0,0,0,96,100,7,7,7,4,3,4,4,5,5,5,7,7,4,36,36,36,1,30,7,3.75,5.5,4.68,98
1,0,0,0,0,0,0,92,100,7,7,7,4,5,5,5,4,5,4,5,6,6,113,18,18,1,38,7,4.75,5,4.04,96
1,0,0,0,0,0,0,96,100,6,6,5,5,6,6,5,6,4,7,7,6,7,121,121,121,1,36,5.666666666666667,5.5,6.166666666666667,3.6,98
1,0,0,0,0,0,0,92,100,7,6,6,2,2,2,2,3,3,3,2,6,4,132,132,132,1,37,6.333333333333333,2,3.5,4.32,96
1,0,0,0,0,0,0,96,100,7,7,7,4,5,5,5,5,7,7,7,7,7,86,86,74,1,33,7,4.75,6.666666666666667,4.083333333,98
1,0,0,0,0,0,0,80,100,6,6,6,6,6,6,6,6,6,6,6,7,6,60,30,30,1,34,6,6,6.166666666666667,4.56,90
1,0,0,0,0,0,0,96,92,7,7,7,3,3,4,4,3,6,6,6,6,6,204,204,204,1,45,7,3.5,5.5,3.84,94
1,0,0,0,0,0,0,92,96,7,7,7,4,4,4,4,5,6,6,6,6,6,192,120,120,1,40,7,4,5.833333333333333,3.88,94
0,1,0,0,0,0,0,56.6666679382324,93.3333358764648,5,5,5,4,4,4,4,4,4,4,4,4,4,140,46,140,1,40,5,4,4,2.5,75.0000019073486
0,1,0,0,0,0,0,53.3333320617676,93.3333358764648,6,6,6,4,4,5,5,3,4,5,5,5,4,42,42,36,1,29,6,4.5,4.333333333333333,3.411764706,73.3333339691162
0,1,0,0,0,0,0,56.6666679382324,90,6,6,6,6,6,6,6,4,4,6,6,6,6,109,45,28,1,34,6,6,5.333333333333333,3.433333333,73.3333339691162
0,1,0,0,0,0,0,80,96.6666641235352,7,6,6,6,4,5,6,5,6,7,7,7,7,171,171,171,1,40,6.333333333333333,5.25,6.5,3.375,88.3333320617676
0,1,0,0,0,0,0,43.3333320617676,86.6666641235352,6,6,6,3,3,4,4,1,3,6,6,6,3,36,36,36,1,28,6,3.5,4.166666666666667,3.47826087,64.9999980926514
0,1,0,0,0,0,0,60,93.3333358764648,7,7,7,3,3,3,3,3,3,5,5,5,5,54,42,42,1,31,7,3,4.333333333333333,4.117647059,76.6666679382324
0,1,0,0,0,0,0,63.3333320617676,100,6,6,6,5,4,5,4,4,4,5,5,6,6,194,125,194,1,40,6,4.5,5,3.066666667,81.6666660308838
0,1,0,0,0,0,0,30,43.3333320617676,5,6,6,4,4,4,4,4,3,4,3,5,5,126,7,133,1,37,5.666666666666667,4,4,3,36.6666660308838
0,1,0,0,0,0,0,53.3333320617676,90,6,5,6,3,3,4,3,3,3,4,4,5,5,14,14,12,1,26,5.666666666666667,3.25,4,3.473684211,71.6666660308838
0,1,0,0,0,0,0,40,86.6666641235352,6,7,6,1,4,5,3,2,4,7,7,7,5,44,20,18,1,26,6.333333333333333,3.25,5.333333333333333,3.916666667,63.3333320617676
0,1,0,0,0,0,0,60,90,7,6,6,2,2,3,2,1,2,3,3,4,3,67,67,67,1,30,6.333333333333333,2.25,2.6666666666666665,3.615384615,75
0,1,0,0,0,0,0,60,96.6666641235352,7,7,7,3,3,4,4,4,4,6,7,7,6,150,48,48,1,38,7,3.5,5.666666666666667,3.25,78.3333320617676
0,1,0,0,0,0,0,53.3333320617676,80,6,6,6,5,3,3,3,4,4,6,6,6,4,62,16,16,1,32,6,3.5,5,4,66.6666660308838
0,1,0,0,0,0,0,60,93.3333358764648,6,6,6,2,2,3,1,4,3,5,5,5,5,32,32,32,1,28,6,2,4.5,3.25,76.6666679382324
0,1,0,0,0,0,0,56.6666679382324,93.3333358764648,6,6,6,3,1,4,1,2,3,5,4,5,2,108,30,108,1,33,6,2.25,3.5,2.777777778,75.0000019073486
0,1,0,0,0,0,0,50,83.3333358764648,5,7,6,4,3,3,4,4,5,7,7,7,7,214,37,37,1,48,6,3.5,6.166666666666667,3,66.6666679382324
0,1,0,0,0,0,0,60,93.3333358764648,7,7,7,2,2,4,2,2,5,5,6,7,5,50,50,50,1,30,7,2.5,5,3.714285714,76.6666679382324
0,1,0,0,0,0,0,70,93.3333358764648,6,5,7,4,4,5,6,4,4,6,6,7,6,26,26,5,1,29,6,4.75,5.5,3.789473684,81.6666679382324
0,1,0,0,0,0,0,73.3333358764648,96.6666641235352,7,7,7,5,5,5,4,4,4,6,6,6,6,15,46,61,1,34,7,4.75,5.333333333333333,3.36,85
0,1,0,0,0,0,0,30,53.3333320617676,7,7,7,5,5,5,6,6,4,6,7,7,7,195,8,192,1,42,7,5.25,6.166666666666667,4.125,41.6666660308838
0,1,0,0,0,0,0,33.3333320617676,63.3333320617676,5,6,6,4,4,4,4,3,3,5,5,5,4,59,7,23,1,31,5.666666666666667,4,4.166666666666667,4,48.3333320617676
0,1,0,0,0,0,0,56.6666679382324,96.6666641235352,7,7,7,2,2,2,2,3,4,6,6,6,5,8,8,6,1,29,7,2,5,3.75,76.6666660308838
0,1,0,0,0,0,0,90,100,7,7,7,6,7,6,6,6,6,6,7,7,6,130,76,180,1,47,7,6.25,6.333333333333333,4.133333333,95
0,1,0,0,0,0,0,60,90,7,6,5,5,4,4,3,3,5,6,5,6,6,62,20,54,1,37,6,4,5.166666666666667,2.413793103,75
0,1,0,0,0,0,0,30,46.6666679382324,7,7,7,4,4,5,6,4,3,7,7,6,6,42,8,48,1,29,7,4.75,5.5,4.5,38.3333339691162
0,1,0,0,0,0,0,50,90,5,5,5,2,2,4,2,2,3,5,5,6,5,110,35,77,1,33,5,2.5,4.333333333333333,3,70
0,1,0,0,0,0,0,53.3333320617676,90,5,4,6,3,3,3,4,2,3,3,4,5,4,99,24,60,1,34,5,3.25,3.5,2.807692308,71.6666660308838
0,1,0,0,0,0,0,26.6666660308838,50,7,7,7,4,4,4,4,4,4,6,6,6,4,68,8,58,1,32,7,4,5,4.6,38.3333330154419
0,1,0,0,0,0,0,50,90,6,5,6,4,3,3,3,2,2,5,5,6,3,23,20,20,1,28,5.666666666666667,3.25,3.8333333333333335,4,70
0,1,0,0,0,0,0,70,93.3333358764648,6,6,6,4,2,2,2,4,4,6,6,7,7,38,38,38,1,29,6,2.5,5.666666666666667,3.32,81.6666679382324
0,1,0,0,0,0,0,53.3333320617676,83.3333358764648,6,6,5,3,3,3,3,4,5,6,5,6,6,52,9,9,1,34,5.666666666666667,3,5.333333333333333,1.933333333,68.3333339691162
0,0,1,0,0,0,0,54.1666679382324,100,3,3,3,7,4,4,3,1,2,3,2,4,5,74,26,26,1,30,3,4.5,2.8333333333333335,2.875,77.0833339691162
